Vendors name,Address,Phone number,Email,Social account,Website URL,Image URL,Vendors description,Category
BlackHouse,"Queens, NY",+1 212 213 4630,"['info@blackhousenyc.com', 'info@blackhousenyc.com']",https://www.instagram.com/blackhousenyc,http://blackhousenyc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6980%2F1597690080298_05-Highline-Stages-EVENT-PRODUCTION-PRST-860X575-V1.jpg","BlackHouse is a planning & production company based in Queens, NY.",Planning & Production
23 Layers (Twenty Three Layers),"New York, NY",+1 646 837 5902,"['events@23layers.com', 'events@23layers.com', 'events@23layers.com']",https://www.instagram.com/23layers,http://twentythreelayers.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F152%2F1644425218040__Y0A9932.jpg","We love the creative solution. We live for unexpected design, unique experiences, and seamless production.",Planning & Production
Bednark Studio Inc.,"Brooklyn, NY",+1 347 422 0613,['office@bednarkinc.com'],https://www.instagram.com/bednarkstudio,http://builtbybednark.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F8382%2F1652280539989_1.jpg","Bednark is a full-service fabrication company. We partner with industry leading Designers, Architects, Agencys and Brands to create exciting, transformational consumer experiences. Our clients choose us because we push the limits of what is possible.",Fabrication
"Cococlectic, craft bean-to-bar chocolate club","San Francisco, CA",+1 415 488 5889,[],https://www.instagram.com/cococlectic,http://cococlectic.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F1151%2F1588714559409_IMAG0095.jpg","We host in-person and virtual chocolate tastings, coffee tastings and chocolate & wine tastings. Our tastings are interactive and hosted by a culinary trained professional. Tastings are perfect for all types of dietary restrictions.",Group Activities
Mixology Mixer,"Miami Beach, FL",+1 646 334 1171,"['info@mixologymixer.com', 'info@mixologymixer.com', 'info@mixologymixer.com']",https://www.instagram.com/mixologymixer,http://mixologymixer.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F8042%2F1619549115431_classics-kit_100dpi.jpg",Mixology Mixer provides a unique experience for your next virtual event. With a twist on your standard mixology/cooking classes our mixers are available from the comfort of your own home.https://youtu.be/Ppk2Fo0lt0Q,Beverage Services
Pinch Food Design,"New York, NY",+1 212 244 7000,"['info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'staff@pinchfoodesign.com', 'info@pinchfooddesign.com']",https://www.instagram.com/pinchfooddesign,http://pinchfooddesign.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F5460%2F1664306895143_9N6A4079.jpg","We have nothing against conventional catering, it's just not what we do.",Catering
Empire Entertainment,Multiple locations,+1 212 343 1645,[],https://www.instagram.com/empireproduced,http://empireentertainment.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F5535%2F1606150263240_1060052.jpg","Empire is a dynamic, full-service, New York City and Tokyo-based experiential and entertainment production agency that designs and produces projects for corporate, brands, association, not-for-profit and private clients.",Planning & Production
R&CPMK,Multiple locations,+1 203 354 7629,"['ukinquiries@rogersandcowanpmk.com', 'newbusiness@rogersandcowanpmk.com', 'ukinquiries@rogersandcowanpmk.com', 'newbusiness@rogersandcowanpmk.com']",https://www.instagram.com/randcpmk,https://www.rogersandcowanpmk.com/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F4686%2F1589950985316_4-1920x1080.jpg","We connect our clients to consumers through the world of entertainment, lifestyle, sports, influence, and popular culture.",Experiential Agency
Gradient Experiential,Multiple locations,+1 212 997 9742,"['//static.parastorage.com/unpkg/core-js-bundle@3.2.1', '//static.parastorage.com/unpkg/focus-within-polyfill@5.0.9', '//605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com', '//831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '//static.parastorage.com/unpkg/lodash@4.17.21', '//static.parastorage.com/unpkg/react@16.14.0', '//static.parastorage.com/unpkg/react-dom@16.14.0']",https://www.instagram.com/wearegradient,http://wearegradient.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F4246%2F1663272390705_HA8A7467.jpg",Great Minds Think Differently,Experiential Agency
STAFFED INC.,"New York, NY",+1 917 678 8894,,https://www.instagram.com/staffedinc,http://staffedinc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F1293%2F1663868159391_D2FDF0A5-CB85-4ECC-AD8C-6A7E44174499.jpg","As a multi-divisional staffing agency, we offer Permanent, Temp & Event Staffing Services, Nationally. Our clients represent many of the industry leaders in Hospitality, Fashion, Marketing, Beauty, Creative, eCommerce, Hotels, and Event Venues.",Staffing
Entire Productions,"San Francisco, CA",+1 415 291 9191,"['events@entireproductions.com', 'events@entireproductions.com']",https://www.instagram.com/entireproductions,http://entireproductions.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F5055%2F1649115514916_1868-relentless-220326.jpg",Entire Productions Creates BOLD Experiences that Drive Guest Engagement and Brand Evangelism.,Planning & Production
Steel Space Concepts,Multiple locations,+1 877 574 7979,,https://www.instagram.com/steelspaceconcepts_,http://steelspaceconcepts.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F16886%2F1659551082818_RL_POLO_ATL_072421-752.jpg","Geared towards revolutionizing the marketing, event and retail industry, Steel Space Concepts (SSC) offers converted shipping containers and other units to convey unique brand experiences.",Fabrication
Five Senses Tastings,"Los Angeles, CA",+1 917 690 2979,"['info@fivesensestastings.com', 'info@fivesensestastings.com']",https://www.instagram.com/fivesensestastings,http://fivesensestastings.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F13361%2F1658774133462_115.jpg","Exquisite, full-sensory musical wine and cocktail tasting experiences. Based in Los Angeles, available anywhere.",Entertainment
Roaming Hunger,"West Hollywood, CA",+1 888 572 8756,['//50e6250371f94f3d9d1ebc05a56740a0@o203240.ingest.sentry.io'],https://www.instagram.com/roaminghunger,http://roaminghunger.com/food-truck-catering/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661846496960_52182677075_6d0bd93f57_k.jpg","Roaming Hunger has a network of over 18,000 independent food trucks, trailers, and carts all across the US and Canada. We specialize in catering and events, and have provided food trucks for huge, large, and small events.",Food Truck
