Vendors name,Address,Phone number,Email,Social account,Website URL,Image URL,Vendors description,Category
BlackHouse,"Queens, NY",+1 212 213 4630,"['info@blackhousenyc.com', 'info@blackhousenyc.com']",https://www.instagram.com/blackhousenyc,http://blackhousenyc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","BlackHouse is a planning & production company based in Queens, NY.",Planning & Production
23 Layers (Twenty Three Layers),"New York, NY",+1 646 837 5902,"['events@23layers.com', 'events@23layers.com', 'events@23layers.com']",https://www.instagram.com/23layers,http://twentythreelayers.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","We love the creative solution. We live for unexpected design, unique experiences, and seamless production.",Planning & Production
Bednark Studio Inc.,"Brooklyn, NY",+1 347 422 0613,['office@bednarkinc.com'],https://www.instagram.com/bednarkstudio,http://builtbybednark.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Bednark is a full-service fabrication company. We partner with industry leading Designers, Architects, Agencys and Brands to create exciting, transformational consumer experiences. Our clients choose us because we push the limits of what is possible.",Fabrication
"Cococlectic, craft bean-to-bar chocolate club","San Francisco, CA",+1 415 488 5889,[],https://www.instagram.com/cococlectic,http://cococlectic.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","We host in-person and virtual chocolate tastings, coffee tastings and chocolate & wine tastings. Our tastings are interactive and hosted by a culinary trained professional. Tastings are perfect for all types of dietary restrictions.",Group Activities
Mixology Mixer,"Miami Beach, FL",+1 646 334 1171,"['info@mixologymixer.com', 'info@mixologymixer.com', 'info@mixologymixer.com']",https://www.instagram.com/mixologymixer,http://mixologymixer.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg",Mixology Mixer provides a unique experience for your next virtual event. With a twist on your standard mixology/cooking classes our mixers are available from the comfort of your own home.https://youtu.be/Ppk2Fo0lt0Q,Beverage Services
Pinch Food Design,"New York, NY",+1 212 244 7000,"['info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'info@pinchfooddesign.com', 'staff@pinchfoodesign.com', 'info@pinchfooddesign.com']",https://www.instagram.com/pinchfooddesign,http://pinchfooddesign.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","We have nothing against conventional catering, it's just not what we do.",Catering
Empire Entertainment,Multiple locations,+1 212 343 1645,[],https://www.instagram.com/empireproduced,http://empireentertainment.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Empire is a dynamic, full-service, New York City and Tokyo-based experiential and entertainment production agency that designs and produces projects for corporate, brands, association, not-for-profit and private clients.",Planning & Production
R&CPMK,Multiple locations,+1 203 354 7629,"['ukinquiries@rogersandcowanpmk.com', 'newbusiness@rogersandcowanpmk.com', 'ukinquiries@rogersandcowanpmk.com', 'newbusiness@rogersandcowanpmk.com']",https://www.instagram.com/randcpmk,https://www.rogersandcowanpmk.com/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","We connect our clients to consumers through the world of entertainment, lifestyle, sports, influence, and popular culture.",Experiential Agency
Gradient Experiential,Multiple locations,+1 212 997 9742,[],https://www.instagram.com/wearegradient,http://wearegradient.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg",Great Minds Think Differently,Experiential Agency
STAFFED INC.,"New York, NY",+1 917 678 8894,"['martin@staffedinc.com', 'info@staffedinc.com']",https://www.instagram.com/staffedinc,http://staffedinc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","As a multi-divisional staffing agency, we offer Permanent, Temp & Event Staffing Services, Nationally. Our clients represent many of the industry leaders in Hospitality, Fashion, Marketing, Beauty, Creative, eCommerce, Hotels, and Event Venues.",Staffing
Entire Productions,"San Francisco, CA",+1 415 291 9191,"['events@entireproductions.com', 'events@entireproductions.com']",https://www.instagram.com/entireproductions,http://entireproductions.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg",Entire Productions Creates BOLD Experiences that Drive Guest Engagement and Brand Evangelism.,Planning & Production
Steel Space Concepts,Multiple locations,+1 877 574 7979,[],https://www.instagram.com/steelspaceconcepts_,http://steelspaceconcepts.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Geared towards revolutionizing the marketing, event and retail industry, Steel Space Concepts (SSC) offers converted shipping containers and other units to convey unique brand experiences.",Fabrication
Five Senses Tastings,"Los Angeles, CA",+1 917 690 2979,"['info@fivesensestastings.com', 'info@fivesensestastings.com']",https://www.instagram.com/fivesensestastings,http://fivesensestastings.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Exquisite, full-sensory musical wine and cocktail tasting experiences. Based in Los Angeles, available anywhere.",Entertainment
Roaming Hunger,"West Hollywood, CA",+1 888 572 8756,[],https://www.instagram.com/roaminghunger,http://roaminghunger.com/food-truck-catering/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Roaming Hunger has a network of over 18,000 independent food trucks, trailers, and carts all across the US and Canada. We specialize in catering and events, and have provided food trucks for huge, large, and small events.",Food Truck
Daniel Events,"Delray Beach, FLDania Beach, FL",+1 561 393 1432,[],https://www.instagram.com/danielevents,http://danielevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","A foremost, floral, event design, and production company in South Florida.  We are a team of passionate award-winning designers, creators, artisans, and event production experts who thrive on bringing extraordinary visions to life for our clients.  ",Florals & Design
"East of Ellie, an events co. ","Shelton, CT",+1 203 712 7382,[],https://www.instagram.com/eastofellie,http://eastofellie.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","East of Ellie, an events co. is an award-winning women-run event planning agency. Your go-to team for corporate events and internal meetings. We are natural dreamers fiercely dedicated to successful (and smart) events. ",Planning & Production
B Floral: Event Design & Production,"New York, NY",+1 646 216 3169,"['events@bfloral.com', 'events@bfloral.com', 'events@bfloral.com', 'events@bfloral.com']",https://www.instagram.com/bfloralnyc,http://bfloral.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","B Floral produces dramatic, brand-driven design. Our unmatched dedication to customer experience has created hundreds of memorable moments through brand activations, customized installations and experiential events.",Florals & Design
Shiraz Creative,Multiple locations,+1 305 642 2227,[],https://www.instagram.com/shiraz_creative,http://shirazcreative.global,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Experiential Marketing, Event Design, Event Production, Marking and Influencer Mailers, Digital Services and Graphic Design",Experiential Agency
AKJOHNSTON Group,"Anaheim, CA",+1 866 212 2192,[],https://www.instagram.com/akjohnstongroup,http://akjohnston.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Design, direction and delivery all under one roof. Our capable departments offer vertically integrated solutions so you can experience what it REALLY means to go to a ""one-stop shop!""",Experiential Agency
Party Rental Ltd.,Multiple locations,+1 844 464 4776,"['inquiries@partyrentalltd.com', 'inquiries@partyrentalltd.com', '//a8e4acaac5e74f608a6bb55327c7a49d@sentry.io']",https://www.instagram.com/partyrentalltd,http://partyrentalltd.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg",Your Party. Our Passion.,Rentals
wonderMakr,"Toronto, Canada",+1 855 444 8129,"['info@wondermakr.com', 'info@wondermakr.com', 'info@wondermakr.com', 'mark.stewart@wondermakr.com', 'info@wondermakr.com', 'info@wondermakr.com', 'info@wondermakr.com']",https://www.instagram.com/wondermakr,http://wondermakr.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","We are an Innovation, Digital & Experiential Technology Studio. We turn ‘what if’, ‘if only’, and ‘I wish’ into innovative human experiences for brands and agencies. ",Experiential Tech
MKTG,Multiple locations,+1 678 433 5620,[],https://www.instagram.com/mktg_inc,http://mktg.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Connection!  Whether you are a brand, consumer or just looking for a resource we are here. Collaborative experiential lifestyle agency that uses discovery, story-telling and consumer journeys to create valuable touch points throughout the experience.",Experiential Agency
Covert Cocktail Club,"Brooklyn, NY",+1 718 930 4768,"['matt@covertcocktailclub.com', 'matt@covertcocktailclub.com', '//cdn.jsdelivr.net/gh/willmyethewebsiteguy/accordions@3.1.016', 'matt@covertcocktailclub.com', 'matt@covertcocktailclub.com', '//cdn.jsdelivr.net/gh/willmyethewebsiteguy/accordions@3.1.016']",https://www.instagram.com/covertcocktailclub,http://covertcocktailclub.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","The CCC's engaging, fun and interactive virtual cocktail events will boost your spirits and teach you and your team to have an expanded appreciation for craft cocktails with the know-how to recreate them in the comfort of your own home.",Beverage Services
Creative Visual Solutions Inc. ,Multiple locations,+1 647 268 3623,[],https://www.instagram.com/creativevisualsolutionsinc,http://visual-solutions.ca,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","At CVS we have built a culture of hard work, dedication, diligence, and self-improvement which has translated into a dynamic team of individuals who want to exceed our clients’ expectations. We love our work and it shows in every project we tackle. ",Fabrication
Glow Events,"San Francisco, CA",+1 415 967 0553,['info@glowevents.com'],https://www.instagram.com/gloweventdesign,http://glowevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg",Glow Events is a boutique event planning firm specializing in creative decor design and full scale production. We produce corporate events without the corporate feel. ,Planning & Production
Got Light,"San Francisco, CA",+1 415 863 4300,"['design@got-light.com', 'design@got-light.com']",https://www.instagram.com/gotlightsf,http://got-light.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","San Francisco's Premier Wedding, & Corporate Event Design Team",Lighting
Industria Creative,"New York, NY",+1 646 802 0770,[],https://www.instagram.com/industriacreative,http://industria-creative.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Industria Creative is an award-winning, full-service experiential marketing agency - we create dynamic brand experiences for both mass and luxury brands.",Experiential Agency
Pop Up Mob,Multiple locations,+1 833 446 8662,"['info@popupmob.com', 'info@popupmob.com']",https://www.instagram.com/popupmob,http://popupmob.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg",A full-service experiential pop-up agency and incubator on a mission to keep the retail scene on its feet.,Experiential Agency
ATX Event Systems,"Austin, TX",+1 866 991 4818,[],https://www.instagram.com/atxeventsystems,http://atxes.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","ATX Event Systems is an Austin based production company with a four acre studio campus that helps virtual, live and hybrid events stand out with a creative deployment of virtual technology, sound, lighting, and video systems.",AV Rental & Production
Great Performances,"New York, NY",+1 212 727 2424,"['//cdn.jsdelivr.net/npm/bootstrap-select@1.13.14', '%20celebratefood@greatperformances.com', 'celebratefood@greatperformances.com']",https://www.instagram.com/gpfood,http://greatperformances.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Great Performances is a caterer based in New York, NY.",Catering
Tinsel Experiential Design,"Brooklyn, NY",+1 929 376 7214,[],https://www.instagram.com/tinseldesignnyc,http://tinseldesign.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","We design experiences. We delight, inspire, and engage because consumers today expect to interact with brands in an authentic way, and anything less than ”I’ve-never-seen-anything-like-this” is immediately forgotten.",Experiential Design
Nest Experiential,"Santa Ana, CA",+1 714 979 5500,[],https://www.instagram.com/nestexperiential,http://nestexperiential.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","We’re Nest Experiential, and we’ve been supporting creative agencies globally for over 20 years. We live to make your agency look like an experiential expert. ",Fabrication
Airgroup Atlanta,"Fairburn, GAAtlanta, GA",+1 404 941 1600,[],Not Available,http://airgroup.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg",Leader in transportation for Experiential Events & Tradeshows,Transportation & Parking
Push Play Creative,"Denver, COMinneapolis, MN",+1 612 799 3577,['hello@pushplaycreative.com'],https://www.instagram.com/pushplaycreative,http://pushplaycreative.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","From immersive installations, mobile tours to virtual events and gifting experiences. Our experiences are designed to spark meaningful brand connections. Proudly women-owned, we delivers big innovative ideas driving your business further. ",Experiential Agency
Bollare,"West Hollywood, CA",No Phone Number,[],https://www.instagram.com/bollare,http://bollare.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","Full-service, beauty, fashion and lifestyle public relations firm. Between offices in New York and Los Angeles, Bollare works with brands across three verticals: celebrity seeding, digital consultancy and traditional press coverage.",PR
Mirrored Media,"Santa Monica, CA",+1 310 881 6314,['info@mirroredmedia.com'],https://www.instagram.com/mirroredmedia,http://mirroredmedia.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","WE ARE A FULL-SERVICE EXPERIENTIAL AND DIGITAL FIRM THAT CREATES HIGH-IMPACT, ENDURING LIFESTYLE ONLINE & OFFLINE CAMPAIGNS. RECOGNIZED AS THE SHORTY AWARDS SMALL AGENCY OF THE YEAR.",Experiential Agency
R90 Lighting,"Seattle, WA",+1 833 943 8548,"['info@r90lighting.com', 'info@r90lighting.com']",https://www.instagram.com/r90.lighting,http://r90lighting.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg",Seattle's Premier LED Concert and Event Lighting Company.,Lighting
MCW EVENTS,Multiple locations,+1 206 792 5481,[],https://www.instagram.com/mcwevents,http://mcwevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6297%2F1643724787920_fb-6.jpg","We Make Moments Matter.We lead with empathy, we collaborate and design with curiosity, we strategize and brainstorm toward authentic solutions to then execute a seamlessly planned event.   ",Planning & Production
Manifold,Multiple locations,+1 818 849 5590,"['hello@wearemanifold.com', 'hello@wearemanifold.com']",https://www.instagram.com/wearemanifold,http://wearemanifold.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Manifold is a creative experiential marketing agency that offers strategy, ideation and execution. We aim to create experiences that engage, delight, captivate and inspire people.",Experiential Agency
Hodde Bros Beverage Co.,Multiple locations,+1 310 957 9958,"['hello@fixmen.com', 'jobs@fixmen.com']",https://www.instagram.com/hoddebros,http://hoddebros.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Hodde Bros Beverage Co. is a beverage provider based in San Luis Obispo, CA.",Beverage Services
WEBB Production,"Salt Lake City, UT",+1 801 708 7920,"['info@webbproduction.com', 'info@wearewebb.com', 'info@wearewebb.com']",https://www.instagram.com/wearewebb,http://webbproduction.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",Event Production | Creative | Technology | Virtual Conference | Live Stream ,Planning & Production
360 Scenery,"Salt Lake City, UT",+1 801 708 7900,[],https://www.instagram.com/360scenery,http://360scenery.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","360 Scenery is a fabrication partner based in Salt Lake City, UT.",Fabrication
CSM Sport & Entertainment,Multiple locations,+1 317 344 1900,"['//i1.wp.com/www.csm.com/us/app/app-uploads/sites/2/2021/08/spirals-bg@2x.png', 'sarah.riggott@csm.com']",https://www.instagram.com/csm_worldwide,http://csm.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","A global integrated marketing and brand experience agency working across sport, entertainment, media, social impact and more. Driven by people pursuing the extraordinary, we build brands, work with properties and create live experiences.",Experiential Agency
The Zoo XYZ,Multiple locations,+44 7940 117588,[],https://www.instagram.com/thezooxyz,http://thezoo.xyz,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",Global Cultural Experiences Led By International Industry Experts,Experiential Agency
Thomas Preti,"New York, NY",+1 212 764 3188,[],https://www.instagram.com/thomaspretieventstosavor,http://thomaspreti.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Thomas Preti is a caterer based in New York, NY.",Catering
MR. HOSPITALITY,"Brooklyn, NY",+1 212 579 1235,"['info@mrhospitality.nyc', 'info@mrhospitality.nyc']",https://www.instagram.com/mrhospitality.nyc,http://mrhospitality.nyc,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","MR. HOSPITALITY is a planning & production company based in Brooklyn, NY.",Planning & Production
Innovate Marketing Group,"Los Angeles, CA",+1 626 817 9588,"['info@innovatemkg.com', 'info@innovatemkg.com', 'info@innovatemkg.com', 'info@innovatemkg.com']",https://www.instagram.com/innovatemkg,https://innovatemkg.com/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",WE HELP FUEL BRANDS TO CHANGE LIVES FOR THE BETTER,Planning & Production
